Feature,Type
7,Numerical
0,Numerical
0.1,Numerical
0.2,Numerical
0.3,Numerical
0.4,Numerical
0.5,Numerical
0.6,Numerical
0.7,Numerical
0.8,Numerical
0.9,Numerical
0.10,Numerical
0.11,Numerical
0.12,Numerical
0.13,Numerical
0.14,Numerical
0.15,Numerical
0.16,Numerical
0.17,Numerical
0.18,Numerical
0.19,Numerical
0.20,Numerical
0.21,Numerical
0.22,Numerical
0.23,Numerical
0.24,Numerical
0.25,Numerical
0.26,Numerical
0.27,Numerical
0.28,Numerical
0.29,Numerical
0.30,Numerical
0.31,Numerical
0.32,Numerical
0.33,Numerical
0.34,Numerical
0.35,Numerical
0.36,Numerical
0.37,Numerical
0.38,Numerical
0.39,Numerical
0.40,Numerical
0.41,Numerical
0.42,Numerical
0.43,Numerical
0.44,Numerical
0.45,Numerical
0.46,Numerical
0.47,Numerical
0.48,Numerical
0.49,Numerical
0.50,Numerical
0.51,Numerical
0.52,Numerical
0.53,Numerical
0.54,Numerical
0.55,Numerical
0.56,Numerical
0.57,Numerical
0.58,Numerical
0.59,Numerical
0.60,Numerical
0.61,Numerical
0.62,Numerical
0.63,Numerical
0.64,Numerical
0.65,Numerical
0.66,Numerical
0.67,Numerical
0.68,Numerical
0.69,Numerical
0.70,Numerical
0.71,Numerical
0.72,Numerical
0.73,Numerical
0.74,Numerical
0.75,Numerical
0.76,Numerical
0.77,Numerical
0.78,Numerical
0.79,Numerical
0.80,Numerical
0.81,Numerical
0.82,Numerical
0.83,Numerical
0.84,Numerical
0.85,Numerical
0.86,Numerical
0.87,Numerical
0.88,Numerical
0.89,Numerical
0.90,Numerical
0.91,Numerical
0.92,Numerical
0.93,Numerical
0.94,Numerical
0.95,Numerical
0.96,Numerical
0.97,Numerical
0.98,Numerical
0.99,Numerical
0.100,Numerical
0.101,Numerical
0.102,Numerical
0.103,Numerical
0.104,Numerical
0.105,Numerical
0.106,Numerical
0.107,Numerical
0.108,Numerical
0.109,Numerical
0.110,Numerical
0.111,Numerical
0.112,Numerical
0.113,Numerical
0.114,Numerical
0.115,Numerical
0.116,Numerical
0.117,Numerical
0.118,Numerical
0.119,Numerical
0.120,Numerical
0.121,Numerical
0.122,Numerical
0.123,Numerical
0.124,Numerical
0.125,Numerical
0.126,Numerical
0.127,Numerical
0.128,Numerical
0.129,Numerical
0.130,Numerical
0.131,Numerical
0.132,Numerical
0.133,Numerical
0.134,Numerical
0.135,Numerical
0.136,Numerical
0.137,Numerical
0.138,Numerical
0.139,Numerical
0.140,Numerical
0.141,Numerical
0.142,Numerical
0.143,Numerical
0.144,Numerical
0.145,Numerical
0.146,Numerical
0.147,Numerical
0.148,Numerical
0.149,Numerical
0.150,Numerical
0.151,Numerical
0.152,Numerical
0.153,Numerical
0.154,Numerical
0.155,Numerical
0.156,Numerical
0.157,Numerical
0.158,Numerical
0.159,Numerical
0.160,Numerical
0.161,Numerical
0.162,Numerical
0.163,Numerical
0.164,Numerical
0.165,Numerical
0.166,Numerical
0.167,Numerical
0.168,Numerical
0.169,Numerical
0.170,Numerical
0.171,Numerical
0.172,Numerical
0.173,Numerical
0.174,Numerical
0.175,Numerical
0.176,Numerical
0.177,Numerical
0.178,Numerical
0.179,Numerical
0.180,Numerical
0.181,Numerical
0.182,Numerical
0.183,Numerical
0.184,Numerical
0.185,Numerical
0.186,Numerical
0.187,Numerical
0.188,Numerical
0.189,Numerical
0.190,Numerical
0.191,Numerical
0.192,Numerical
0.193,Numerical
0.194,Numerical
0.195,Numerical
0.196,Numerical
0.197,Numerical
0.198,Numerical
0.199,Numerical
0.200,Numerical
0.201,Numerical
84,Numerical
185,Numerical
159,Numerical
151,Numerical
60,Numerical
36,Numerical
0.202,Numerical
0.203,Numerical
0.204,Numerical
0.205,Numerical
0.206,Numerical
0.207,Numerical
0.208,Numerical
0.209,Numerical
0.210,Numerical
0.211,Numerical
0.212,Numerical
0.213,Numerical
0.214,Numerical
0.215,Numerical
0.216,Numerical
0.217,Numerical
0.218,Numerical
0.219,Numerical
0.220,Numerical
0.221,Numerical
0.222,Numerical
0.223,Numerical
222,Numerical
254,Numerical
254.1,Numerical
254.2,Numerical
254.3,Numerical
241,Numerical
198,Numerical
198.1,Numerical
198.2,Numerical
198.3,Numerical
198.4,Numerical
198.5,Numerical
198.6,Numerical
198.7,Numerical
170,Numerical
52,Numerical
0.224,Numerical
0.225,Numerical
0.226,Numerical
0.227,Numerical
0.228,Numerical
0.229,Numerical
0.230,Numerical
0.231,Numerical
0.232,Numerical
0.233,Numerical
0.234,Numerical
0.235,Numerical
67,Numerical
114,Numerical
72,Numerical
114.1,Numerical
163,Numerical
227,Numerical
254.4,Numerical
225,Numerical
254.5,Numerical
254.6,Numerical
254.7,Numerical
250,Numerical
229,Numerical
254.8,Numerical
254.9,Numerical
140,Numerical
0.236,Numerical
0.237,Numerical
0.238,Numerical
0.239,Numerical
0.240,Numerical
0.241,Numerical
0.242,Numerical
0.243,Numerical
0.244,Numerical
0.245,Numerical
0.246,Numerical
0.247,Numerical
0.248,Numerical
0.249,Numerical
0.250,Numerical
0.251,Numerical
0.252,Numerical
17,Numerical
66,Numerical
14,Numerical
67.1,Numerical
67.2,Numerical
67.3,Numerical
59,Numerical
21,Numerical
236,Numerical
254.10,Numerical
106,Numerical
0.253,Numerical
0.254,Numerical
0.255,Numerical
0.256,Numerical
0.257,Numerical
0.258,Numerical
0.259,Numerical
0.260,Numerical
